"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"
"13"	8.25	-0.158173806153718	-0.212211962681046	-0.112415026058477	0.00986151490157958	-0.212513953579425	-0.296190332963385	0.0268896046199728	0.0354045910994371	-0.12330475277861	-0.280862739559943	-0.190793803741341	-0.169779142550119	0.022975113248909	-0.0199028024542945	-0.286513653287695	0.0457127645518846	-0.074813096586777	-0.236352459315308	0.356273871236684	-0.170120976241569	-0.157042163630604	0.141075395815751
"14"	8.4	-0.166175637918368	-0.177838723651862	-0.11329922325777	0.0259354356432873	-0.19077604864578	-0.274099871744141	0.0155072246725436	0.0683594730252955	-0.132606210768379	-0.314760899889632	-0.17275221610688	-0.158316087065166	0.0408146247401323	-0.0105216624340592	-0.299343819640338	-0.00234977654257728	-0.00657808533648733	-0.231889776871977	0.329801146048626	-0.0751518767597529	-0.131768253318504	0.171008270238637
"15"	8.55	-0.13183478043836	-0.170315157061686	-0.120377997953413	0.0257421087974879	-0.190853958007159	-0.306210664472129	0.0315368040108754	0.0429731767709469	-0.124603648423601	-0.295272080671241	-0.178502407315595	-0.149377258578557	0.0656769187221671	-0.0477379594439905	-0.276386301424772	-0.0406329792429846	-0.00907680387063563	-0.256269026540452	0.334548545624653	-0.0947200622071831	-0.153818534237227	0.130681543911095
"16"	8.7	-0.0637710276500839	-0.17341861257181	-0.134021970003664	0.0292535263225722	-0.249825929549503	-0.353737091637204	0.0461367041254949	0.0751679674887769	-0.146823778324355	-0.297629879020268	-0.183230317731517	-0.144795386792692	-0.0161866593217705	-0.0125766607931927	-0.340921341873429	-0.0417905683162318	0.0082338125589771	-0.288880035154013	0.340466401073808	-0.045136173576318	-0.131387322634114	0.168106438651615
"17"	8.85	0.0122159982851662	-0.181686049885891	-0.133241887014813	0.0282658475924608	-0.249495452389241	-0.299348472616285	0.0473746735688668	0.0625059119830702	-0.246352332291964	-0.308146242934936	-0.180082822576626	-0.177983135951383	0.0315494625646093	-0.0256178694432343	-0.320524954987509	-0.0405057437227743	0.0705535553485562	-0.256799986340822	0.325164373901387	-0.0716534489761592	-0.14448850810032	0.156473646246034
"18"	9	-0.00400212273934272	-0.142190813561713	-0.12638997093146	0.00183514086620722	-0.247860345776288	-0.319264627569476	0.0472406774650452	0.0923521059228109	-0.224125223404611	-0.275194858031106	-0.181506389590701	-0.211044444087186	0.0209620028833702	0.000542712043113414	-0.364247273812821	-0.0561026149826531	0.0864912639071664	-0.234317136816844	0.325117413165865	-0.079045570880923	-0.20656437214323	0.150042395061291
"19"	9.15	0.0571140575174092	-0.31867372905032	-0.18901917180373	-0.0040613494285879	-0.259465618780023	-0.29936862993242	0.0776142386726899	0.121034163619658	-0.153052029114527	-0.270071531290608	-0.188894510282459	-0.232293622299554	0.034846005931401	0.000289972593560326	-0.35838019575628	-0.0655695068913221	0.111837785036172	-0.235764028406107	0.307534323334845	-0.0723469867619245	-0.16887706571317	0.282356616560208
"20"	9.3	0.227156854664298	-0.264993138819117	-0.115840237908966	-0.00849791780838874	-0.263806901239908	-0.253991900274121	0.0345640638656641	0.128760695629588	-0.02870051040884	-0.265628829301514	-0.17221859689951	-0.237997761666206	0.0411655548163119	0.00581270519279982	-0.312324291754121	-0.0500353459280854	0.0715955740686402	-0.225850430310859	0.380857578178758	-0.0741991883893011	-0.180587633676031	0.265107403667783
"21"	9.45	0.192234676837582	-0.321653761446915	-0.141895136455068	-0.0162964769508005	-0.234823077601557	-0.302021606139171	0.0475680417340192	0.133065817261304	-0.0655664793216508	-0.263207802133271	-0.150584587977917	-0.276151979221627	0.040924617069517	0.0104758647407815	-0.307963410176309	-0.0523908109255604	0.0867218280535981	-0.255501186010947	0.386748905855854	-0.0740570219575364	-0.187948993720168	0.249091180058943
"22"	9.6	0.181528209970261	-0.304916012717615	-0.10858062304917	-0.0470614542433745	-0.243568306038261	-0.29724875880309	0.0133143657482027	0.244858806374479	-0.0623515500829378	-0.304140872987848	-0.167582777761008	-0.309530091207741	0.0325227968822638	-0.0188349326367666	-0.311725831356665	-0.0676598547295134	0.081601538598743	-0.247509262441381	0.369310144065241	-0.0633276218223027	-0.205653334296646	0.194828091370822
"23"	9.75	0.315076587074783	-0.212956564371276	-0.0935469953072008	-0.0216114450301831	-0.244458577025077	-0.291187069283649	0.0242636188219759	0.170762289767471	-0.048491451188433	-0.272832095947648	-0.162985195287588	-0.291124570799029	0.0631215703806475	-0.0313466424970833	-0.238312673190859	-0.0317542207190047	0.0405539944660812	-0.232777578534974	0.355369506120637	-0.0777690928526356	-0.216130642989585	0.0968991423184746
"24"	9.9	0.397622684240656	-0.234799852631948	-0.132774739691509	-0.0613314968345544	-0.243879923923126	-0.267998874115899	-0.0135604653620311	0.177553579166884	-0.0615635610206078	-0.270048684235159	-0.156304255587632	-0.268424077190079	0.0263602006308075	-0.0420359693959382	-0.176514454125803	-0.0133750819469359	0.136235330834576	-0.231818644302268	0.358196685059662	-0.0721015334306647	-0.173127453886874	0.018364838020811
"25"	10.05	0.325717354848822	-0.222707819870875	-0.123301026338223	-0.0745949924339104	-0.232138598879447	-0.291810348085845	-0.00551525242067218	0.181653309242731	-0.0661657266737226	-0.241569806112115	-0.132842429638056	-0.291177633762569	0.0464172747076434	-0.0510736852340893	-0.195514606217703	-0.0135295367711866	0.068331206987305	-0.230999224396434	0.294223090411247	-0.0800782497917628	-0.205293205517698	0.0389919784123309
"26"	10.2	0.349958040363102	-0.23727746804409	-0.123516926671211	-0.0626818841357248	-0.245124287167185	-0.267098732676943	-0.0205227066582696	0.173457831459321	-0.0508120186784246	-0.263103431370354	-0.127544428966591	-0.249670189850881	0.0339497609019296	-0.0283558957680653	-0.175726515220706	-0.0133169495823526	0.0338651593169216	-0.167052609363265	0.241628234984691	-0.090578596980202	-0.190848648962563	-0.0148012877248108
"27"	10.35	0.386015589995035	-0.23358726074182	-0.132301198993925	-0.111401210415162	-0.223329234433389	-0.26441027369992	0.00141699373933038	0.147043952233688	-0.0615454277295969	-0.244806709180916	-0.123185011893798	-0.259915458565679	0.0553403475722795	-0.0434081479981624	-0.172911519389565	-0.0234710200757536	0.00994563594699166	-0.140537624177107	0.210852346131307	0.0066224018075015	-0.196837928100499	0.0411286253571565
"28"	10.5	0.38988999183981	-0.240174763689416	-0.0667071578504948	-0.0863398637104158	-0.205847741979294	-0.287112528369591	-0.00629953581949268	0.106470071991648	-0.0923219301832453	-0.250281849015563	-0.0836334961426686	-0.250350187491441	0.132352126700702	-0.0368620751317242	-0.172300947238647	-0.0101231588122507	-0.0330813600052434	-0.144105624296043	0.216388048964913	-0.03313678415896	-0.210283616117491	0.0300427241285
